WeatherCondition,PopulationDensity,UrbanActivities,EnergyConsumption,EnergyDistribution,EnergyStorageHealth,DemandResponse
6,833,0.07053429523732191,82,0.08748020004275525,0.7626538483082316,0.8246932687741316
3,214,0.7728044928617406,80,0.9981639603286299,0.9410234655606866,0.11917576106426853
7,769,0.24968106433932502,85,0.6350671590369197,0.41842642390029894,0.7996532749456426
4,358,0.6089048610300379,136,0.873517586572262,0.03420384269037602,0.9222567483534899
6,862,0.6877730355454815,172,0.8296955652387791,0.34153408774104366,0.5678308659890451
9,221,0.4712366872916477,93,0.7659975440388064,0.5157515497559167,0.1659015354158021
2,398,0.8763521130271916,97,0.03922353112408272,0.9358718750448688,0.43670611576077156
6,874,0.44379484097972877,62,0.5164670765835401,0.8830664867445309,0.13885347102606338
7,480,0.2849086230417651,193,0.32814837621450677,0.5940717916067257,0.11903793108198346
4,660,0.8960155229616223,140,0.11293911582184024,0.7297522521435712,0.7560784500449195
3,988,0.8615642842499565,180,0.3429902064199032,0.9538982922036895,0.3930367571315653
7,940,0.164039947076413,192,0.6448030373081823,0.8505915924618317,0.00012895198522944185
7,600,0.02596101835392095,115,0.23062642862214422,0.6588193950376835,0.048464448850809916
2,396,0.08998555634962069,77,0.44459542922254625,0.5400551569225348,0.817753587608781
5,461,0.28654739855381706,174,0.4044942436286503,0.47604076189597333,0.6196982373332551
4,688,0.9722598017417107,129,0.05246296280641116,0.7566097476347265,0.8445142017904882
1,562,0.558516153160825,181,0.6280825293828007,0.8087730151859434,0.2736714736395758
7,537,0.3732617320292688,121,0.6188469022925339,0.21764400204055234,0.31432122968825715
5,226,0.8887160946127464,93,0.9664145052470048,0.47402511305727,0.6168717019657393
1,296,0.45313633147849963,168,0.29800521663147705,0.7711526894144021,0.6651534937300266
4,320,0.3152386284010211,95,0.41895102864202094,0.6757074981966193,0.026516791863737565
0,190,0.9412195287456574,133,0.40363762234941314,0.5915768207697575,0.9072149398174293
9,510,0.849517666192678,75,0.9197439009857786,0.32372652701486426,0.7991630885640176
5,107,0.843668375419441,145,0.4086493153892714,0.6092186896026855,0.13186317361979927
8,643,0.5122847430502131,62,0.44276414420595867,0.6121444710616968,0.010322606908406806
0,567,0.789438398815455,174,0.25234453419174674,0.4324331642829713,0.769164763718678
9,419,0.17935335926455187,118,0.0011681464240477224,0.9602997206233129,0.9028790779948751
2,493,0.5732229575562436,100,0.11045067137536746,0.6531213835828915,0.32210514583539496
6,368,0.9838459228475457,62,0.7038891514273089,0.8506970513256161,0.32080223414635634
3,290,0.29095843051796166,188,0.6824955933756427,0.12895817740255744,0.5146186223312758
8,960,0.7943523292476752,109,0.3225305728448711,0.7567795900244569,0.6745563590520636
2,774,0.49047840720806724,81,0.47300622774697565,0.6018692904331745,0.6476695096602262
4,160,0.03980568322208733,67,0.29737839338031624,0.30827741838904277,0.7526323617025947
2,537,0.7630193978156674,142,0.730916388557895,0.13636210476701416,0.11398420860902714
6,363,0.1685691443921128,197,0.842499350106405,0.379647177213974,0.5198151480531644
4,896,0.6314735671327502,93,0.8991052926554752,0.4413771672123151,0.5063293579406067
8,194,0.0856641940469729,86,0.17387132142112083,0.1407626466407429,0.9498537071241967
6,652,0.9468673974959648,176,0.6950167418345532,0.6701268872155491,0.9182516987258954
1,569,0.2917238871803609,68,0.9630046771305895,0.3071096521512109,0.7503221793267337
3,760,0.2264646916773949,81,0.6506117041312974,0.8060394500382189,0.8769147224077569
8,815,0.1291364040663343,155,0.3509741436011091,0.6483487772877933,0.7456216331301876
1,878,0.9460021933390478,71,0.6359463658006981,0.31050241566140946,0.7204822179514648
9,613,0.7119037424413052,171,0.688426052320934,0.3600196140898184,0.21570928144775692
8,789,0.7416608887180887,178,0.39704729986039455,0.942147561616392,0.6172525748012719
9,293,0.4994045613802446,103,0.103990950547861,0.9481195205386528,0.9160622019837149
4,581,0.4747277852704834,197,0.6066598675202233,0.4183708382190181,0.7501439567603542
1,998,0.11002124299147664,107,0.8021408005167268,0.679170079263289,0.604722764035281
3,435,0.5598410955839918,119,0.9975764837560588,0.9799721792479663,0.25817556230352345
6,534,0.24691649510879043,112,0.22305830696294204,0.9940512936259679,0.6786409597166898
7,295,0.9771453328004058,52,0.700388974181735,0.07213422570258188,0.3470596347458732
2,954,0.7965809400151473,148,0.028043200166073645,0.5534991383184398,0.06523386120395425
0,348,0.4129920601928876,94,0.969825279747811,0.7266172452740077,0.2393514654919553
3,597,0.15134125869153303,192,0.01256446152438051,0.18686611271955622,0.38923307503387816
1,311,0.785331691138784,66,0.3587949616387115,0.8219050234502541,0.9966674340308049
7,764,0.12205376708131599,192,0.07640277297623221,0.46845434305370326,0.7601168032606532
3,769,0.1893337534970705,54,0.6209679616080689,0.4977515896436254,0.279565854213203
1,565,0.21152051774422742,60,0.33949979560802357,0.27432304556050613,0.762389832303666
5,973,0.5568906382730944,141,0.7329439313304604,0.30014762033552933,0.3576411866613415
5,750,0.7870566539903663,191,0.48637806666805206,0.08417318860464407,0.6079131254889703
9,320,0.3143148787246922,88,0.419403416351965,0.9315159881080476,0.764680728193133
3,372,0.08466981427528941,91,0.3485163491147919,0.38186678019625386,0.7408349438831717
5,253,0.4645384635244192,143,0.08612916701465245,0.16223002149574972,0.1400331765354732
1,348,0.7481102411599355,54,0.2048248526792148,0.14235470652501359,0.8255384376124716
9,378,0.2216638430873883,101,0.6391025049884855,0.40740609760756696,0.9229378815533652
1,539,0.21992454803937422,199,0.4967516685387622,0.6322078987942107,0.23342063516185896
9,915,0.9472270273467108,93,0.07008945160555957,0.7777821207646242,0.3294161247450538
3,375,0.9541537271191779,164,0.5439517176398548,0.9246049152108519,0.9381974544118805
7,613,0.9904657320615764,176,0.05414266144908286,0.6357020481035836,0.9836760742323494
6,187,0.8076596015747801,165,0.5117269475199883,0.420661753337673,0.4534998620947922
8,898,0.18818416916794556,198,0.9649614468988891,0.42194646264933655,0.034537497152641095
7,741,0.21198152079926136,117,0.30734455373040204,0.574376961688306,0.9328911642532921
4,604,0.340225241522392,96,0.7235031386421754,0.5380408959262306,0.025392734443083098
1,689,0.31813253133349084,176,0.7455520405919752,0.6408146072424379,0.3302094293283151
4,871,0.9565277490780091,84,0.40485953341113967,0.5034104289722027,0.08968989616209655
7,340,0.7890739828816936,56,0.5932921507799099,0.058990851704762814,0.5117444169434996
9,752,0.7240087921615539,165,0.47204609069753756,0.5007283518093051,0.037572843963379565
8,839,0.18596322405813182,101,0.28336301971080635,0.022533265969479688,0.22540917710027186
